Growth (%),Date,Real Exchange Rate Growth (%),RER Index,France Inflation (%),US Inflation (%),France IP Growth (%),US IP Growth (%),France YoY IP Growth (%),US YoY IP Growth (%),France Reserves Index,US Reserves Index_x,US Inflation Rate (%),US Reserves Index_y
7.045743444442043,1981-02-28,7.145163983199843,,0.9407323518309418,1.0344827586206584,3.003421619566593,1.2099984078967507,-0.9263773768893202,-2.215043839409403,4431.70040318586,138.72783686748411,1.0344827586206584,138.72783686748411
,1981-03-01,,4.7993477492564045,,,,,,,,,,
0.03824399670664391,1981-03-31,-0.20891909753418814,,0.9319650550503322,0.6825938566551226,-2.632874015748088,0.8022652194431101,-3.979616597913127,-1.5819382583320607,4457.9291087667225,142.12877679896755,0.6825938566551226,142.12877679896755
,1981-04-01,,4.895906576829573,,,,,,,,,,
2.7283702419976574,1981-04-30,2.0119156314132303,,1.3850520587751936,0.6779661016949934,-1.5415718979024384,-2.0599250936330193,-4.133858267716583,-0.15908367801472645,4454.612486782328,138.77919057605078,0.6779661016949934,138.77919057605078
,1981-05-01,,5.257033983513268,,,,,,,,,,
7.509401421968032,1981-05-31,7.376109021213173,,0.9107453681622468,0.785634118967482,-0.8855236139629574,0.49394518801781917,-0.3997936548877812,3.1398201144724913,4423.789608582628,137.38845933931069,0.785634118967482,137.38845933931069
,1981-06-01,,5.41648520975493,,,,,,,,,,
3.1371834583962865,1981-06-30,3.0331024441105248,,0.9927855894468651,0.8908685968819663,0.40139842030297856,2.3307436182020913,-0.4876796714578302,5.011389521640086,3476.426219701259,138.2621391128194,0.8908685968819663,138.2621391128194
,1981-07-01,,5.51629230666913,,,,,,,,,,
2.4411785491488036,1981-07-31,1.8426542868510198,,1.6979345338022922,1.1037527593818597,-11.323188031983477,-2.7269910133250197,-1.7433552443554934,6.932379492420493,3442.8321419642352,134.91926341963008,1.1037527593818597,134.91926341963008
,1981-08-01,,5.663309702264418,,,,,,,,,,
3.1399799984722643,1981-08-31,2.6651487524971484,,1.2302313700393697,0.764192139738018,-26.294357184409645,2.2618668365721017,-1.7639077340571907,6.010568031704011,3370.168153387624,136.78047040154985,0.764192139738018,136.78047040154985
,1981-09-01,,5.335941708068849,,,,,,,,,,
-5.637381928552598,1981-09-30,-5.780506654345152,,1.1284681017179832,0.9750812567713929,47.27703235990537,0.18691588785051394,0.511715593859341,3.060406986059916,3278.66746567234,138.8839950800114,0.9750812567713929,138.8839950800114
,1981-10-01,,5.26117700059464,,,,,,,,,,
-0.3454812643455374,1981-10-31,-1.4011530028739227,,1.2875633699242828,0.2145922746780604,3.3762057877813723,-0.6063432835822113,0.4033832140533322,1.5567911040507143,3269.085676910794,141.37357835589674,0.2145922746780604,141.37357835589674
,1981-11-01,,5.224324574102645,,,,,,,,,,
-0.1795619577584895,1981-11-30,-0.7004597352993414,,0.8474562594110724,0.3211991434691086,3.4603421461897543,-2.0804004379789687,1.2557077625570123,-1.1526922469602963,3275.4458816948804,144.89535515882207,0.3211991434691086,144.89535515882207
,1981-12-01,,5.304036326534111,,,,,,,,,,
1.7970684100302892,1981-12-31,1.52578101342713,,0.5882366389351024,0.32017075773738135,-2.580483527495836,-1.613418530351507,1.2893982808023452,-2.4857504749843495,3124.4856121395806,140.56333742640342,0.32017075773738135,140.56333742640342
,1982-01-01,,5.364641243213424,,,,,,,,,,
1.9158093641814977,1982-01-31,1.1426188085501998,,1.0860444290902604,0.31914893617013274,1.671595731001685,-1.4288033771715836,0.20276264098348928,-3.343416653399245,3020.5705358573637,140.6701452616979,0.31914893617013274,140.6701452616979
,1982-02-01,,5.504778314038088,,,,,,,,,,
3.3012308807232937,1982-02-28,2.612235645802885,,0.9917249827099184,0.31813361611889857,0.9611736436069274,3.0637456761654303,-1.783956692913291,-1.5730690577316353,3029.679866258746,140.49909323537955,0.31813361611889857,140.49909323537955
,1982-03-01,,5.544852189766367,,,,,,,,,,
2.07232359525249,1982-03-31,0.7279834616788161,,1.2275052363106997,-0.10570824524308575,0.7641237629963493,-0.7351766022055561,1.6426585797322701,-3.0742821473158655,2968.9375579647754,139.95104945996624,-0.10570824524308575,139.95104945996624
,1982-04-01,,5.596816049969216,,,,,,,,,,
1.6492730502025932,1982-04-30,0.9371550119722682,,1.1317730436557927,0.42328042328030335,-1.61611138736949,-2.415070037031186,1.5657084188912762,-3.4257488846399675,2849.091253949731,147.48690772885018,0.42328042328030335,147.48690772885018
,1982-05-01,,5.398694019806977,,,,,,,,,,
-3.6822884812253487,1982-05-31,-3.5399060536093208,,0.7993592425734386,0.9483667017913477,-2.2112711650239203,-1.0394324368916186,0.2071733782210039,-4.899318217853244,2763.4696648997683,144.4886450376744,0.9483667017913477,144.4886450376744
,1982-06-01,,5.938072688727643,,,,,,,,,,
9.405504265402854,1982-06-30,9.990910152377008,,0.7137116739462934,1.2526096033404377,0.0,1.7172390796932557,-0.19344854268752432,-5.469476293771436,2217.261933186872,143.35295633485092,1.2526096033404377,143.35295633485092
,1982-07-01,,6.190593987048182,,,,,,,,,,
